Id,Designator,Package,Quantity,Designation,Supplier and ref,Column1,_1
1,"R4,R2,R3",R_0805_2012Metric,3,10k,,,
2,"TP1,TP2",TestPoint_Pad_D1.0mm,2,5V,,,
3,J4,IDC-Header_2x05_P2.54mm_Vertical,1,ISP,,,
4,"R10,R5,R1,R7,R11,R19,R18,R8",R_0805_2012Metric,8,1k,,,
5,R9,R_0603_1608Metric,1,DNP,,,
6,"C6,C17,C4,C9,C5,C3",C_0805_2012Metric,6,100nF,,,
7,"R13,R12",R_0805_2012Metric,2,4k7,,,
8,L1,IND_B1047AS-331M=P3,1,330uH,,,
9,D7,LED_0805_2012Metric,1,PROG,,,
10,J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Power Jack,,,
11,U2,TQFP-64_14x14mm_P0.8mm,1,ATmega128-16A,,,
12,"J3,J2",PinHeader_2x16_P2.54mm_Vertical,2,Conn_02x16_Odd_Even,,,
13,D4,LED_0805_2012Metric,1,5V,,,
14,XTAL1,Crystal_SMD_HC49-SD,1,7.3728M,,,
15,U1,TO-263-5_TabPin3,1,LM2596S-5,,,
16,D6,LED_0805_2012Metric,1,LED_B,,,
17,"C8,C7",C_0805_2012Metric,2,22pF,,,
18,D5,LED_0805_2012Metric,1,LED_A,,,
19,D8,LED_0805_2012Metric,1,TNOW,,,
20,C1,CP_Elec_8x10.5,1,470uf,,,
21,"R16,R17",R_0805_2012Metric,2,5.1k,,,
22,"D1,D3,D2",DIOM4325X250N,3,P4SMA13,,,
23,J5,PinHeader_2x05_P1.27mm_Vertical,1,JTAG,,,
24,TP4,TestPoint_Pad_D1.0mm,1,GND,,,
25,TP5,TestPoint_Pad_D1.0mm,1,Power In,,,
26,C2,CP_Elec_6.3x7.7,1,220uf,,,
27,U4,MSOP-10_3x3mm_P0.5mm,1,CH340E,,,
28,S3,SW_TL1015AF160QG,1,SW_B,,,
29,C16,C_0805_2012Metric,1,1uF,,,
30,C15,C_0805_2012Metric,1,10nF,,,
31,S2,SW_TL1015AF160QG,1,SW_A,,,
32,S1,SW_4-1437565-9,1,Reset,,,
33,J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,,,
34,R6,R_0805_2012Metric,1,120R,,,
